,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,**your show STARTS at the time shown
5AM,,,,,,,,
6AM,,,,,,,,"**djs may sign up for these slots, but must know that they may lose their spot for a week or two"
7AM,,,,,,,,
8AM,,,,,,Break on Through,,
9AM,,,,Turn it up!,,,Great Green Way,
10AM,,,,Lobster Telephone,,,,
11AM,,,Ken's Scene,,,,,
12PM,,,,,,,,
1PM,,,Broken Down @ the Crossroads,GET OUTTA BED(rot) ,Sports Hour,,,
2PM,,Whine and Cheese,,,Chutes and Ladders,,The Phlair Lodge,
3PM,,,,,JonahLand,,,
4PM,Trusted Adults,Film Fanatics,Hijos del Quijote,Plato's Rave*,Run It Back Radio w Abby H,Everything but the Kitchen Sink,that new math,
5PM,Roadkill,The Junk Drawer,Eclectic Chill,,From The Vault,alas,left of the dial,
6PM,Yap Time,Whine & Gheese,WebDCR News,TisPimo,Soundcheck at Six,,Lavender Menace,
7PM,For the Record...,Think About It,PB & Jam,,Nothing Special,,Tier List Tyrants,
8PM,The Blue Door,Acoustic Stew,Beat Generation,Imperfect Cadence,Give us aux,Afroheat ,Keep It Esoteric,
9PM,,Colonoscopy,Charcuterie Before Bed,,Spearit Radio,,,
10PM,,Hootin’ and Hollerin’,roosevelt aka the bear,,,,,
11PM,,,,,,,,
12AM,,,,,,,,
1AM,,,,,,,,
2AM,,,,,,,,
3AM,,,,,,,,
4AM,,,,,,,,
,5,8,9,6,9,4,7,48